Date,Stock,Ticker,Close,High,Low,Open,Volume
2026-01-12,Salesforce,CRM,259.4,261.56,255.77,259.0,4927700
2026-01-13,Salesforce,CRM,241.06,260.91,240.36,257.66,13661000
2026-01-14,Salesforce,CRM,239.57,242.24,236.46,239.18,10149300
2026-01-15,Salesforce,CRM,233.53,238.84,231.67,237.02,11489600
2026-01-16,Salesforce,CRM,227.11,232.95,226.44,232.95,13902600
2026-01-20,Salesforce,CRM,220.07,227.94,219.36,223.54,13050800
2026-01-21,Salesforce,CRM,221.58,223.39,218.96,220.15,12616600
2026-01-22,Salesforce,CRM,228.09,228.72,221.11,222.24,9483000
2026-01-23,Salesforce,CRM,228.05,230.85,226.65,226.78,9408000
2026-01-26,Salesforce,CRM,229.4,230.95,227.59,229.43,7239600
2026-01-27,Salesforce,CRM,228.53,235.74,226.27,231.94,9838400
2026-01-28,Salesforce,CRM,227.96,231.86,227.67,229.39,8465900
2026-01-29,Salesforce,CRM,214.08,217.28,208.78,216.67,18555600
2026-01-30,Salesforce,CRM,212.29,215.55,211.03,214.16,11090400
2026-02-02,Salesforce,CRM,210.81,216.89,209.8,214.35,7950900
2026-02-03,Salesforce,CRM,196.38,205.56,193.11,205.0,20194200
2026-02-04,Salesforce,CRM,199.44,200.67,187.28,193.31,23010000
2026-02-05,Salesforce,CRM,189.97,199.56,188.79,193.99,21956300
2026-02-06,Salesforce,CRM,191.35,194.6,187.12,191.63,13652600
2026-02-09,Salesforce,CRM,194.03,195.2,185.73,189.3,12112000
